ordem;restaurant_id;categoria;caminho_categorias;nome;descricao;preco_referencia_reais;origem_preco_referencia;preco_source_file;preco_json_pointer;price_bruto_api;default_price_bruto_api;display_default_price_na_fonte;tipo_produto_api;ativo_na_fonte;visivel_na_fonte;source_id;json_pointer;variantes_e_componentes;sinalizacoes;status_revisao;observacoes_ike
81;freneze;Doses;Bebidas > Doses;Aperol;;32,00;price do produto simples;raw_catalogo.json;/3/children/4/products/2/price;32;0;true;1;true;true;93946;/3/children/4/products/2;;DESCRICAO_AUSENTE;PENDENTE;
82;freneze;Doses;Bebidas > Doses;Campari;;32,00;price do produto simples;raw_catalogo.json;/3/children/4/products/3/price;32;0;true;1;true;true;93947;/3/children/4/products/3;;DESCRICAO_AUSENTE;PENDENTE;
83;freneze;Doses;Bebidas > Doses;Fernet Blanca;;32,00;price do produto simples;raw_catalogo.json;/3/children/4/products/4/price;32;0;true;1;true;true;93948;/3/children/4/products/4;;DESCRICAO_AUSENTE;PENDENTE;
84;freneze;Doses;Bebidas > Doses;Gin Bombay;;36,00;price do produto simples;raw_catalogo.json;/3/children/4/products/5/price;36;0;true;1;true;true;93949;/3/children/4/products/5;;DESCRICAO_AUSENTE;PENDENTE;
85;freneze;Doses;Bebidas > Doses;Gin Tanqueray Dry;;38,00;price do produto simples;raw_catalogo.json;/3/children/4/products/6/price;38;0;true;1;true;true;93950;/3/children/4/products/6;;DESCRICAO_AUSENTE;PENDENTE;
86;freneze;Doses;Bebidas > Doses;Gin Tanqueray Ten;;42,00;price do produto simples;raw_catalogo.json;/3/children/4/products/7/price;42;0;true;1;true;true;93951;/3/children/4/products/7;;DESCRICAO_AUSENTE;PENDENTE;
87;freneze;Doses;Bebidas > Doses;Jerez Valdespino;;48,00;price do produto simples;raw_catalogo.json;/3/children/4/products/8/price;48;0;true;1;true;true;93952;/3/children/4/products/8;;DESCRICAO_AUSENTE;PENDENTE;
88;freneze;Doses;Bebidas > Doses;Jerez Valdespino Oloroso;;52,00;price do produto simples;raw_catalogo.json;/3/children/4/products/9/price;52;0;true;1;true;true;93953;/3/children/4/products/9;;DESCRICAO_AUSENTE;PENDENTE;
89;freneze;Doses;Bebidas > Doses;Licor 43;;42,00;price do produto simples;raw_catalogo.json;/3/children/4/products/10/price;42;0;true;1;true;true;93954;/3/children/4/products/10;;DESCRICAO_AUSENTE;PENDENTE;
90;freneze;Doses;Bebidas > Doses;Licor Abadia Sanbasile;;42,00;price do produto simples;raw_catalogo.json;/3/children/4/products/11/price;42;0;true;1;true;true;93955;/3/children/4/products/11;;DESCRICAO_AUSENTE;PENDENTE;
91;freneze;Doses;Bebidas > Doses;Licor Cointreau;;36,00;price do produto simples;raw_catalogo.json;/3/children/4/products/12/price;36;0;true;1;true;true;93956;/3/children/4/products/12;;DESCRICAO_AUSENTE;PENDENTE;
92;freneze;Doses;Bebidas > Doses;Licor Disaronno;;38,00;price do produto simples;raw_catalogo.json;/3/children/4/products/13/price;38;0;true;1;true;true;93957;/3/children/4/products/13;;DESCRICAO_AUSENTE;PENDENTE;
93;freneze;Doses;Bebidas > Doses;Licor Tia Maria;;38,00;price do produto simples;raw_catalogo.json;/3/children/4/products/14/price;38;0;true;1;true;true;93958;/3/children/4/products/14;;DESCRICAO_AUSENTE;PENDENTE;
94;freneze;Doses;Bebidas > Doses;Licor Luxardo Marraschino;;58,00;price do produto simples;raw_catalogo.json;/3/children/4/products/15/price;58;0;true;1;true;true;93959;/3/children/4/products/15;;DESCRICAO_AUSENTE;PENDENTE;
95;freneze;Doses;Bebidas > Doses;Rum Havana 7 anos;;42,00;price do produto simples;raw_catalogo.json;/3/children/4/products/16/price;42;0;true;1;true;true;93960;/3/children/4/products/16;;DESCRICAO_AUSENTE;PENDENTE;
96;freneze;Doses;Bebidas > Doses;Rum Havana 3 anos;;32,00;price do produto simples;raw_catalogo.json;/3/children/4/products/17/price;32;0;true;1;true;true;93961;/3/children/4/products/17;;DESCRICAO_AUSENTE;PENDENTE;
97;freneze;Doses;Bebidas > Doses;Tequila Don Julio 1942;;390,00;price do produto simples;raw_catalogo.json;/3/children/4/products/18/price;390;0;true;1;true;true;93962;/3/children/4/products/18;;DESCRICAO_AUSENTE;PENDENTE;
98;freneze;Doses;Bebidas > Doses;Tequila Don Julio Anejo;;62,00;price do produto simples;raw_catalogo.json;/3/children/4/products/19/price;62;0;true;1;true;true;93963;/3/children/4/products/19;;DESCRICAO_AUSENTE;PENDENTE;
99;freneze;Doses;Bebidas > Doses;Tequila Don Julio blanco;;62,00;price do produto simples;raw_catalogo.json;/3/children/4/products/20/price;62;0;true;1;true;true;93964;/3/children/4/products/20;;DESCRICAO_AUSENTE;PENDENTE;
100;freneze;Doses;Bebidas > Doses;Tequila Don Julio Reposado;;62,00;price do produto simples;raw_catalogo.json;/3/children/4/products/21/price;62;0;true;1;true;true;93965;/3/children/4/products/21;;DESCRICAO_AUSENTE;PENDENTE;
101;freneze;Doses;Bebidas > Doses;Vermute Noilly Prat;;32,00;price do produto simples;raw_catalogo.json;/3/children/4/products/22/price;32;0;true;1;true;true;93966;/3/children/4/products/22;;DESCRICAO_AUSENTE;PENDENTE;
102;freneze;Doses;Bebidas > Doses;Vermute Punt E Mes;;32,00;price do produto simples;raw_catalogo.json;/3/children/4/products/23/price;32;0;true;1;true;true;93967;/3/children/4/products/23;;DESCRICAO_AUSENTE;PENDENTE;
103;freneze;Doses;Bebidas > Doses;Vermute Rosso Cinzano 1757;;34,00;price do produto simples;raw_catalogo.json;/3/children/4/products/24/price;34;0;true;1;true;true;93968;/3/children/4/products/24;;DESCRICAO_AUSENTE;PENDENTE;
104;freneze;Doses;Bebidas > Doses;Vodka Absolut;;36,00;price do produto simples;raw_catalogo.json;/3/children/4/products/25/price;36;0;true;1;true;true;93969;/3/children/4/products/25;;DESCRICAO_AUSENTE;PENDENTE;
105;freneze;Doses;Bebidas > Doses;Vodka Absolut Vanilla;;36,00;price do produto simples;raw_catalogo.json;/3/children/4/products/26/price;36;0;true;1;true;true;93970;/3/children/4/products/26;;DESCRICAO_AUSENTE;PENDENTE;
106;freneze;Doses;Bebidas > Doses;Vodka Belvedere;;42,00;price do produto simples;raw_catalogo.json;/3/children/4/products/27/price;42;0;true;1;true;true;93971;/3/children/4/products/27;;DESCRICAO_AUSENTE;PENDENTE;
107;freneze;Doses;Bebidas > Doses;Vodka Grey Goose;;42,00;price do produto simples;raw_catalogo.json;/3/children/4/products/28/price;42;0;true;1;true;true;93972;/3/children/4/products/28;;DESCRICAO_AUSENTE;PENDENTE;
108;freneze;Doses;Bebidas > Doses;Whiskey Bulleit Bourbon;;48,00;price do produto simples;raw_catalogo.json;/3/children/4/products/29/price;48;0;true;1;true;true;93973;/3/children/4/products/29;;DESCRICAO_AUSENTE;PENDENTE;
109;freneze;Doses;Bebidas > Doses;Whiskey Jameson;;36,00;price do produto simples;raw_catalogo.json;/3/children/4/products/30/price;36;0;true;1;true;true;93974;/3/children/4/products/30;;DESCRICAO_AUSENTE;PENDENTE;
110;freneze;Doses;Bebidas > Doses;Whiskey Jim Bean;;42,00;price do produto simples;raw_catalogo.json;/3/children/4/products/31/price;42;0;true;1;true;true;93975;/3/children/4/products/31;;DESCRICAO_AUSENTE;PENDENTE;
111;freneze;Doses;Bebidas > Doses;Whiskey Chivas 18 anos;;128,00;price do produto simples;raw_catalogo.json;/3/children/4/products/32/price;128;0;true;1;true;true;93976;/3/children/4/products/32;;DESCRICAO_AUSENTE;PENDENTE;
112;freneze;Doses;Bebidas > Doses;Whisky J.W. 18 Anos;;128,00;price do produto simples;raw_catalogo.json;/3/children/4/products/33/price;128;0;true;1;true;true;93977;/3/children/4/products/33;;DESCRICAO_AUSENTE;PENDENTE;
113;freneze;Doses;Bebidas > Doses;Whisky J.W. Black Label;;52,00;price do produto simples;raw_catalogo.json;/3/children/4/products/34/price;52;0;true;1;true;true;93978;/3/children/4/products/34;;DESCRICAO_AUSENTE;PENDENTE;
114;freneze;Doses;Bebidas > Doses;Whisky J.W. Blue Label;;198,00;price do produto simples;raw_catalogo.json;/3/children/4/products/35/price;198;0;true;1;true;true;93979;/3/children/4/products/35;;DESCRICAO_AUSENTE;PENDENTE;
115;freneze;Doses;Bebidas > Doses;Whisky J.W. Double Black;;58,00;price do produto simples;raw_catalogo.json;/3/children/4/products/36/price;58;0;true;1;true;true;93980;/3/children/4/products/36;;DESCRICAO_AUSENTE;PENDENTE;
116;freneze;Doses;Bebidas > Doses;Whisky J.W. Green Label;;152,00;price do produto simples;raw_catalogo.json;/3/children/4/products/37/price;152;0;true;1;true;true;93981;/3/children/4/products/37;;DESCRICAO_AUSENTE;PENDENTE;
117;freneze;Doses;Bebidas > Doses;Whisky Macallan 12 Anos;;198,00;price do produto simples;raw_catalogo.json;/3/children/4/products/38/price;198;0;true;1;true;true;93982;/3/children/4/products/38;;DESCRICAO_AUSENTE;PENDENTE;
118;freneze;Doses;Bebidas > Doses;Whisky Macallan 18 Anos;;620,00;price do produto simples;raw_catalogo.json;/3/children/4/products/39/price;620;0;true;1;true;true;93983;/3/children/4/products/39;;DESCRICAO_AUSENTE;PENDENTE;
119;freneze;Caipirinhas;Bebidas > Caipirinhas;Caipirinha de Limão;Cachaça, limão e açúcar.;48,00;price do produto simples;raw_catalogo.json;/3/children/5/products/0/price;48;0;true;1;true;true;93984;/3/children/5/products/0;;;PENDENTE;
120;freneze;Caipirinhas;Bebidas > Caipirinhas;Caipiroska de Limão;Vodka Ketel One, Limão e Açucar;56,00;price do produto simples;raw_catalogo.json;/3/children/5/products/1/price;56;0;true;1;true;true;93985;/3/children/5/products/1;;;PENDENTE;
121;freneze;Caipirinhas;Bebidas > Caipirinhas;Caipiroska de Limão Premium;Vodka Belvedere ou Grey Goose, Limão e Açucar;62,00;price do produto simples;raw_catalogo.json;/3/children/5/products/2/price;62;0;true;1;true;true;93986;/3/children/5/products/2;;;PENDENTE;
122;freneze;Caipirinhas;Bebidas > Caipirinhas;Caipisake de Limão;Sake Gekkeikan, Limão e Açucar;46,00;price do produto simples;raw_catalogo.json;/3/children/5/products/3/price;46;0;true;1;true;true;93987;/3/children/5/products/3;;;PENDENTE;
123;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Vallontano Brut;Com as uvas Pinot Noir e Chardonnay, as mesmas utilizadas em Champagne, Vallontano elabora este espumante de bastante classe seco, cheio de fruta e com grande apelo. Uma deliciosa pedida como aperitivo ou mesmo para acompanhar entradas e carnes brancas. Uma ótima descoberta.;243,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/2/body/product/product_composite_steps/0/complements/0/price;243;0;true;9;true;true;93989;/4/children/0/products/0;Volume > Vallontano Brut - 750ml: 243,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
124;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Vallontano Rosé Brut;Elaborado com base nas castas Chardonnay e Pinot Noir, mostra sedutores aromas de frutas vermelhas e ótima presença no palato. É um vinho versátil, de minúscula produção, que combina com uma infinidade de pratos.;233,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/3/body/product/product_composite_steps/0/complements/0/price;233;0;true;9;true;true;93991;/4/children/0/products/1;Volume > Vallontano Rosé Brut - 750ml: 233,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
125;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Zanini LH Nature;Esta nova safra do já consagrado espumante Extra Brut da Vallontano é um corte clássico de uvas Chardonnay e Pinot Noir. Elaborado pelo tradicional método champenoise, é um espumante artesanal brasileiro de autor, assinado por Luís Henrique Zanini e produzido em quantidade limitadíssima.;330,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/4/body/product/product_composite_steps/0/complements/0/price;330;0;true;9;true;true;93993;/4/children/0/products/2;Volume > Zanini LH Nature - 750ml: 330,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
126;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Cabert Prosecco Extra Dry D.O.C.;Uma uva branca utilizada na fabricação de famosos proseccos, muito cultivada nas regiões italianas do Veneto e Friuli Venezia Giulia, principalmente em torno de Conegliano e Valdobbiadene, nas colinas ao norte de Treviso.;299,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/5/body/product/product_composite_steps/0/complements/0/price;299;0;true;9;true;true;93995;/4/children/0/products/3;Volume > Cabert Prosecco Extra Dry D.O.C. - 750ml: 299,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
127;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Ca' Del Bosco Franciacorta Cuvee Prestige Brut;O Cuvée Prestige de Ca' del Bosco é um espumante impressionante, comparável aos melhores vinhos de Champagne. Feito com uma grande proporção de Chardonnay e maturado 28 meses com as borras, é delicado e complexo, com grande presença no palato. A rigorosa seleção das melhores uvas e o uso de vinhos reserva maturados com as borras por muitos anos, ajuda a fazer desta Franciacorta um dos grandes espumantes do Velho Mundo.;1316,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/6/body/product/product_composite_steps/0/complements/0/price;1316;0;true;9;true;true;93997;/4/children/0/products/4;Volume > Ca' Del Bosco Franciacorta Cuvee Prestige Brut - 750ml: 1316,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
128;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Louis Roederer Collection (1624);O Champagne Louis Roederer Collection Brut é assinado pela Maison Louis Roederer, uma das mais tradicionais e renomadas casas de Champagne. Elaborado com um corte das uvas Pinot Noir, Chardonnay e Pinot Meunier. De coloração dourada, revela, no nariz, aromas de frutas brancas, notas de frutas cítricas, além de toques de avelã. Em boca, o Champagne Louis Roederer Collection Brut é equilibrado e complexo, contando com grande frescor e perlage refinada e persistente.;999,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/7/body/product/product_composite_steps/0/complements/0/price;999;0;true;9;true;true;93999;/4/children/0/products/5;Volume > Louis Roederer Collection (1624) - 750ml: 999,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
129;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Champagne Cristal Brut Louis Roederer;O tempo trabalhou sua mágica. Cristal é um gigante com um coração paciente. Ainda está repleto de jovens, mesmo depois de muitos anos passados ​​descansando nas adegas. O giz concentrou sua textura e lhe deu uma energia única e uma profundidade surpreendente. Sua pura tensão, opulência e persistência notável a levam acima e além de quaisquer limites. Ele afirma sua presença, fluindo tão docemente quanto um córrego da montanha, mas estruturado pela força e concentração da safra. Das profundezas calcárias, o Cristal forjou sua identidade nesses solos calcários que refletem os raios do sol do verão e capturam a luz suave do inverno. Cristal tem uma força contida e uma pureza penetrante, como o salto incrivelmente gracioso de uma bailarina flexível no ar. Uma reverberação de fruta brilhante, um pulso inicial que penetra no núcleo e acena a contemplação.;7145,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/8/body/product/product_composite_steps/0/complements/0/price;7145;0;true;9;true;true;94005;/4/children/0/products/6;Volume > Champagne Cristal Brut Louis Roederer - 750ml: 7145,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
130;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Bollinger Special Cuvée;Encorpado, equilibrado e muito fino, é um corte proveniente 80% de vinhedos Grands e Premiers Crus. Outras premiações do rótulo: Revue des Vins de France: 5*/ Wine Enthusiast: 94 pontos / Wine & Spirits: 92 pontos;1966,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/9/body/product/product_composite_steps/0/complements/0/price;1966;0;true;9;true;true;94007;/4/children/0/products/7;Volume > Bollinger Special Cuvée - 750ml: 1966,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
131;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Cremant pierre ponnelle brut;;324,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/10/body/product/product_composite_steps/0/complements/0/price;324;0;true;9;true;true;94009;/4/children/0/products/8;Volume > Cremant pierre ponnelle brut - 750ml: 324,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
132;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Luis Pato Espumante Bruto Baga;;795,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/11/body/product/product_composite_steps/0/complements/0/price;795;0;true;9;true;true;94011;/4/children/0/products/9;Volume > Luis Pato Espumante Bruto Baga - 750ml: 795,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
133;freneze;Espumante & Champagnes;Adega > Espumante & Champagnes;Chablis;Chablis, com certeza, integra a lista TOP 10 de qualquer apreciador de bons vinhos brancos. elaborado pela Maison Dufouleur Pere e Fils, é muito fresco, vivo e mineral, com notas de maçã verde, limão, hortelã e grama cortada. O Chablis, no paladar, apresenta frescura prolongada e com muita energia, tem um ataque potente.;485,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/12/body/product/product_composite_steps/0/complements/0/price;485;0;true;9;true;true;94013;/4/children/0/products/10;Volume > Chablis - 750ml: 485,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
134;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Roero Tistin Arneis;Este excelente branco elaborado por um dos grandes nomes do Piemonte, é muito floral e fresco com notas que lembram pera. Perfeito para acompanhar comida pois ao mesmo tempo que é delicado tem otima persistencia;554,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/13/body/product/product_composite_steps/0/complements/0/price;554;0;true;9;true;true;94019;/4/children/1/products/0;Volume > Roero Tistin Arneis - 750ml: 554,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
135;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Marani IGT;;310,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/14/body/product/product_composite_steps/0/complements/0/price;310;0;true;9;true;true;94021;/4/children/1/products/1;Volume > Marani IGT - 750ml: 310,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
136;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Fontaleoni Vernaccia di San Gimignano;Corpo leve a médio, seco e elegante. Apresenta acidez viva e refrescante, um toque amendoado sutil no final de boca e uma persistência agradável e limpa.;434,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/15/body/product/product_composite_steps/0/complements/0/price;434;0;true;9;true;true;94023;/4/children/1/products/2;Volume > Fontaleoni Vernaccia di San Gimignano - 750ml: 434,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
137;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Guerriero Bianco IGT;;293,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/16/body/product/product_composite_steps/0/complements/0/price;293;0;true;9;true;true;94025;/4/children/1/products/3;Volume > Guerriero Bianco IGT - 750ml: 293,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
138;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Mastroberardino Greco di Tufo;;682,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/17/body/product/product_composite_steps/0/complements/0/price;682;0;true;9;true;true;94027;/4/children/1/products/4;Volume > Mastroberardino Greco di Tufo - 750ml: 682,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
139;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Regaleali Bianco;Produzido pela Tasca d'Almerita, eleita como a Vinícola Europeia do ano pela revista Wine Enthusiast. Um corte das uvas Inzolia, Grecanico, Catarratto e Chardonnay, revela aromas de frutas brancas, notas florais, herbáceas e minerais. Um vinho branco fresco e vibrante. Em boca, apresenta ótima acidez e um final persistente.;365,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/18/body/product/product_composite_steps/0/complements/0/price;365;0;true;9;true;true;94031;/4/children/1/products/5;Volume > Regaleali Bianco - 750ml: 365,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
140;freneze;Vinhos Brancos;Adega > Vinhos Brancos;MONOGRAPH MOSCHOFILERO;O Monograph Moschofilero é elaborado com a casta (100%) Moschofilero na sub-região de Mantinia no Peloponeso, variedade cultivada especialmente nesta região. É um vinho vivo, moderno, rico, frutado, com notas marcantes florais, e em boca é refrescante e equilibrado. Ótimo para acompanhar peixes, e carnes brancas.;372,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/19/body/product/product_composite_steps/0/complements/0/price;372;0;true;9;true;true;94033;/4/children/1/products/6;Volume > MONOGRAPH MOSCHOFILERO - 750ml: 372,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
141;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Oremus Mandolás;Este branco seco surpreende com seu charme e frescor,Encorpado,repleto de aromas e com grande finesse, mostra perfeita acidez e uma leve cremosidade, Um dos vinhos pioneiros a mostrar a uva Furmint vinificada como vinho seco,é um seco branco surpreendente e de vocação gastronômica.;982,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/20/body/product/product_composite_steps/0/complements/0/price;982;0;true;9;true;true;94035;/4/children/1/products/7;Volume > Oremus Mandolás - 750ml: 982,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
142;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Chablis Tete d'Or;;1283,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/21/body/product/product_composite_steps/0/complements/0/price;1283;0;true;9;true;true;94039;/4/children/1/products/8;Volume > Chablis Tete d'Or - 750ml: 1283,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
143;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Le Cabanon des Alexandrins;A aromática uva Viognier é a matéria-prima do famoso Condrieu, um dos brancos mais celebrados da França. O Le Cabanon revela exuberantes aromas de frutas brancas e cítricas, com toque exótico e excelente frescor. Um branco sedutor, perfeito como aperitivo e ideal para acompanhar entradas e saladas.;382,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/22/body/product/product_composite_steps/0/complements/0/price;382;0;true;9;true;true;94041;/4/children/1/products/9;Volume > Le Cabanon des Alexandrins - 750ml: 382,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
144;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Viña Bujanda Blanco;Saborosas notas florais com um bom volume na boca. Ataque fresco e de grande porte, com um paladar sedoso e amigável. Incrivelmente fresco.;276,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/23/body/product/product_composite_steps/0/complements/0/price;276;0;true;9;true;true;94043;/4/children/1/products/10;Volume > Viña Bujanda Blanco - 750ml: 276,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
145;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Soalheiro Allo;;329,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/24/body/product/product_composite_steps/0/complements/0/price;329;0;true;9;true;true;94045;/4/children/1/products/11;Volume > Soalheiro Allo - 750ml: 329,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
146;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Tapada de Coelheiros;O Tapada de Coelheiros branco é elaborado a partir de Arinto e Roupeiro provenientes da Vinha da Sobreira. Foi produzido pela primeira vez em 1995, sendo reconhecido pela sua elegância, untuosidade e capacidade de envelhecimento. Nariz complexo, onde se evidencia a fruta tropical, oriunda da Roupeiro, combinada com notas de toranja e o frescor da casca de lima da Arinto. O paladar é dominado pela cremosidade e untuosidade. Final longo e persistente.;993,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/25/body/product/product_composite_steps/0/complements/0/price;993;0;true;9;true;true;94047;/4/children/1/products/12;Volume > Tapada de Coelheiros - 750ml: 993,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
147;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Barista;;381,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/26/body/product/product_composite_steps/0/complements/0/price;381;0;true;9;true;true;94049;/4/children/1/products/13;Volume > Barista - 750ml: 381,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
148;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Luca Chardonnay;;585,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/27/body/product/product_composite_steps/0/complements/0/price;585;0;true;9;true;true;94053;/4/children/1/products/14;Volume > Luca Chardonnay - 750ml: 585,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
149;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Adriana Chardonnay White Stones;Um dos belos Chardonnay da América do Sul. Cor dourado médio. Aromas de banana. Abacaxi, pêssego com toques minerais/terrosos e levemente amanteigado. Na boca tem acidez e corpo médio.;2437,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/28/body/product/product_composite_steps/0/complements/0/price;2437;0;true;9;true;true;94055;/4/children/1/products/15;Volume > Adriana Chardonnay White Stones - 750ml: 2437,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
150;freneze;Vinhos Brancos;Adega > Vinhos Brancos;El enemigo;O El Enemigo Chardonnay é um branco sério e persistente. Uvas de Tupungato, cultivadas a 1500 metros de altitude, são fermentadas em barricas de carvalho francês, originando um branco intenso e cheio de caráter. No nariz, impõem-se notas de frutas cítricas e aromas minerais. No palato, é untuoso, com fruta madura e grande frescor.;485,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/29/body/product/product_composite_steps/0/complements/0/price;485;0;true;9;true;true;94057;/4/children/1/products/16;Volume > El enemigo - 750ml: 485,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO;PENDENTE;
151;freneze;Vinhos Brancos;Adega > Vinhos Brancos;Amayna Sauvignon Blanc;;487,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/30/body/product/product_composite_steps/0/complements/0/price;487;0;true;9;true;true;94059;/4/children/1/products/17;Volume > Amayna Sauvignon Blanc - 750ml: 487,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
